index,emoji,name,group,sub_group,codepoints
0,😀,grinning face,Smileys & Emotion,face-smiling,1F600
1,😃,grinning face with big eyes,Smileys & Emotion,face-smiling,1F603
2,😄,grinning face with smiling eyes,Smileys & Emotion,face-smiling,1F604
3,😁,beaming face with smiling eyes,Smileys & Emotion,face-smiling,1F601
4,😆,grinning squinting face,Smileys & Emotion,face-smiling,1F606
5,😅,grinning face with sweat,Smileys & Emotion,face-smiling,1F605
6,🤣,rolling on the floor laughing,Smileys & Emotion,face-smiling,1F923
7,😂,face with tears of joy,Smileys & Emotion,face-smiling,1F602
8,🙂,slightly smiling face,Smileys & Emotion,face-smiling,1F642
9,🙃,upside-down face,Smileys & Emotion,face-smiling,1F643
10,😉,winking face,Smileys & Emotion,face-smiling,1F609
11,😊,smiling face with smiling eyes,Smileys & Emotion,face-smiling,1F60A
12,😇,smiling face with halo,Smileys & Emotion,face-smiling,1F607
13,🥰,smiling face with hearts,Smileys & Emotion,face-affection,1F970
14,😍,smiling face with heart-eyes,Smileys & Emotion,face-affection,1F60D
15,🤩,star-struck,Smileys & Emotion,face-affection,1F929
16,😘,face blowing a kiss,Smileys & Emotion,face-affection,1F618
17,😗,kissing face,Smileys & Emotion,face-affection,1F617
18,☺️,smiling face,Smileys & Emotion,face-affection,263A FE0F
19,☺,smiling face,Smileys & Emotion,face-affection,263A
20,😚,kissing face with closed eyes,Smileys & Emotion,face-affection,1F61A
21,😙,kissing face with smiling eyes,Smileys & Emotion,face-affection,1F619
22,🥲,smiling face with tear,Smileys & Emotion,face-affection,1F972
23,😋,face savoring food,Smileys & Emotion,face-tongue,1F60B
24,😛,face with tongue,Smileys & Emotion,face-tongue,1F61B
25,😜,winking face with tongue,Smileys & Emotion,face-tongue,1F61C
26,🤪,zany face,Smileys & Emotion,face-tongue,1F92A
27,😝,squinting face with tongue,Smileys & Emotion,face-tongue,1F61D
28,🤑,money-mouth face,Smileys & Emotion,face-tongue,1F911
29,🤗,hugging face,Smileys & Emotion,face-hand,1F917
30,🤭,face with hand over mouth,Smileys & Emotion,face-hand,1F92D
31,🤫,shushing face,Smileys & Emotion,face-hand,1F92B
32,🤔,thinking face,Smileys & Emotion,face-hand,1F914
33,🤐,zipper-mouth face,Smileys & Emotion,face-neutral-skeptical,1F910
34,🤨,face with raised eyebrow,Smileys & Emotion,face-neutral-skeptical,1F928
35,😐,neutral face,Smileys & Emotion,face-neutral-skeptical,1F610
36,😑,expressionless face,Smileys & Emotion,face-neutral-skeptical,1F611
37,😶,face without mouth,Smileys & Emotion,face-neutral-skeptical,1F636
38,😏,smirking face,Smileys & Emotion,face-neutral-skeptical,1F60F
39,😒,unamused face,Smileys & Emotion,face-neutral-skeptical,1F612
40,🙄,face with rolling eyes,Smileys & Emotion,face-neutral-skeptical,1F644
41,😬,grimacing face,Smileys & Emotion,face-neutral-skeptical,1F62C
42,🤥,lying face,Smileys & Emotion,face-neutral-skeptical,1F925
43,😌,relieved face,Smileys & Emotion,face-sleepy,1F60C
44,😔,pensive face,Smileys & Emotion,face-sleepy,1F614
45,😪,sleepy face,Smileys & Emotion,face-sleepy,1F62A
46,🤤,drooling face,Smileys & Emotion,face-sleepy,1F924
47,😴,sleeping face,Smileys & Emotion,face-sleepy,1F634
48,😷,face with medical mask,Smileys & Emotion,face-unwell,1F637
49,🤒,face with thermometer,Smileys & Emotion,face-unwell,1F912
50,🤕,face with head-bandage,Smileys & Emotion,face-unwell,1F915
51,🤢,nauseated face,Smileys & Emotion,face-unwell,1F922
52,🤮,face vomiting,Smileys & Emotion,face-unwell,1F92E
53,🤧,sneezing face,Smileys & Emotion,face-unwell,1F927
54,🥵,hot face,Smileys & Emotion,face-unwell,1F975
55,🥶,cold face,Smileys & Emotion,face-unwell,1F976
56,🥴,woozy face,Smileys & Emotion,face-unwell,1F974
57,😵,dizzy face,Smileys & Emotion,face-unwell,1F635
58,🤯,exploding head,Smileys & Emotion,face-unwell,1F92F
59,🤠,cowboy hat face,Smileys & Emotion,face-hat,1F920
60,🥳,partying face,Smileys & Emotion,face-hat,1F973
61,🥸,disguised face,Smileys & Emotion,face-hat,1F978
62,😎,smiling face with sunglasses,Smileys & Emotion,face-glasses,1F60E
63,🤓,nerd face,Smileys & Emotion,face-glasses,1F913
